assessment_id,entity_id,name,category,description,duration_minutes,job_levels,languages,remote,adaptive,url
A4229,4229,Automata Selenium,['Simulations'],A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.,60.0,"['Entry-Level', 'Graduate', 'Manager', 'Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/automata-selenium/
A4026,4026,Automation Anywhere RPA Development (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client.",8.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/
A4025,4025,Automotive Engineering (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting.",13.0,"['Graduate', 'Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/automotive-engineering-new/
A3988,3988,Basic Biology (New),['Knowledge & Skills'],Multi choice test that measures the candidate's basic understanding of Biology.,6.0,"['Professional Individual Contributor', 'Graduate', 'Mid-Professional']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/basic-biology-new/
A4206,4206,Basic Computer Literacy (Windows 10) (New),"['Simulations', 'Knowledge & Skills']","The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer.",30.0,['Entry-Level'],['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/
A4149,4149,Basic Statistics (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing.",10.0,"['Graduate', 'Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/basic-statistics-new/
A4161,4161,Biochemistry (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism.",8.0,"['Graduate', 'Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/biochemistry-new/
A4036,4036,Biotech Lab Techniques (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis.",5.0,"['Graduate', 'Professional Individual Contributor', 'Mid-Professional']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/
A4037,4037,BizTalk (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration.",16.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/biztalk-new/
A244,244,Business Communication (adaptive),['Knowledge & Skills'],"This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication.",24.0,"['Entry-Level', 'Front Line Manager', 'Manager', 'Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,True,https://www.shl.com/products/product-catalog/view/business-communication-adaptive/
A536,536,Business Communications,['Knowledge & Skills'],"This test measures the candidate's knowledge of communicating in the workplace.  It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. This version of the test is not adaptive.",35.0,[],['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/business-communications/
A4038,4038,C Programming (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling and dynamic memory.",10.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/c-programming-new/
A4039,4039,C# Programming (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs, inheritance, event handling and operator overloading.",9.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/c-programming-new-4039/
A4122,4122,C++ Programming (New),['Knowledge & Skills'],Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code.,10.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/c-programming-new-4122/
A4077,4077,Cardiology and Diabetes Management (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used for them.",4.0,"['Graduate', 'Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/
A4044,4044,Ceramic Engineering (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics.",12.0,"['Graduate', 'Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/
A4012,4012,Chemical Engineering (New),['Knowledge & Skills'],"Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles, stoichiometry and process calculations.",13.0,"['Graduate', 'Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/chemical-engineering-new/
A4024,4024,Cisco AppDynamics (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom dashboard, reports and monitoring.",9.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/
A4150,4150,Civil Engineering (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources engineering.",10.0,"['Graduate', 'Manager', 'Mid-Professional', 'Professional Individual Contributor', 'Supervisor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/civil-engineering-new/
A4045,4045,Cloud Computing (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of cloud computing concepts, cloud service models, virtualization and private clouds.",8.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/cloud-computing-new/
A4046,4046,COBOL Programming (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing.",10.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/cobol-programming-new/
A4104,4104,Computer Science (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication.",12.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/computer-science-new/
A4189,4189,Contact Center Call Simulation (New),['Simulations'],Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and documentation skills.,15.0,['Entry-Level'],['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/
A4296,4296,Conversational Multichat Simulation,['Simulations'],"This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It provides an open-ended chat environment that assesses the candidate’s skills in a real job setting. Candidates are scored based on whether they resolved the customer’s query, the amount of time taken, and the correct use of vocabulary and grammar in their response.",11.0,[],['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/
A4034,4034,Core Java (Advanced Level) (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurrency.",13.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/
A4032,4032,Core Java (Entry Level) (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class.",13.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/
A3458,3458,Count Out The Money,"['Knowledge & Skills', 'Simulations']",The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis.,5.0,['Entry-Level'],"['English (USA)', 'English (Australia)', 'English (Canada)', 'English International', 'English (South Africa)']",True,True,https://www.shl.com/products/product-catalog/view/count-out-the-money/
A4052,4052,CSS3 (New),['Knowledge & Skills'],Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.,8.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/css3-new/
A4050,4050,Culinary Skills (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety.",7.0,"['Graduate', 'Manager', 'Mid-Professional', 'Professional Individual Contributor', 'Supervisor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/culinary-skills-new/
A3933,3933,Customer Service Phone Simulation,"['Biodata & Situational Judgment', 'Simulations']","As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample tasks for these jobs include: verify the customer or account; take ownership of customer issues; interact with customers to provide information; respond positively to difficult, irate, or confused customers; listen attentively to callers; resolve calls in a timely manner; navigate within multiple information menus to view customer account details and process information; and type information quickly and accurately. Potential job titles that use this solution are: Call Center Representative, Contact Center Representative, Contact Center Agent, Customer Service Agent, Customer Service Representative, and Customer Advocate.
""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""",20.0,[],"['French (Canada)', 'Portuguese (Brazil)', 'Dutch', 'Italian', 'Spanish', 'French', 'Latin American Spanish', 'Chinese Simplified', 'English (Australia)', 'English International', 'English (USA)']",True,False,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/
A3931,3931,Customer Service Phone Solution,"['Biodata & Situational Judgment', 'Personality & Behavior', 'Simulations']","As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. The Contact Center Simulation provides an opportunity for candidates to interact with simulated customers in a contact center environment. Designed to measure a candidate’s ability to listen attentively to the customer, take ownership of customer issues, resolve issues, navigate to find information, and enter information accurately, the Contact Center Simulation is intended to measure how a candidate will respond in a variety of customer situations and assess the candidate’s computer skills in a contact center setting. The behavioral tests in this solution are intended to measure the candidate’s learning potential and the tendency to meet goals and work hard, even when faced with obstacles. Collectively, the assessments in this solution measure a wide range of important skills, abilities, and behaviors for entry-level contact center roles.
""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""",30.0,[],"['French (Canada)', 'Italian', 'French', 'Dutch', 'Spanish', 'Portuguese (Brazil)', 'Chinese Simplified', 'English (Australia)', 'Latin American Spanish', 'English (USA)', 'English International']",True,False,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/
A4053,4053,Cyber Risk (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management.",9.0,"['Manager', 'Mid-Professional', 'Professional Individual Contributor', 'Supervisor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/cyber-risk-new/
A4186,4186,Data Entry (New),['Simulations'],Simulated data entry test that measures the ability to accurately transcribe data from pre-filled forms and the ability to verify pre-filled data.,4.0,['Entry-Level'],['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/data-entry-new/
A778,778,Data Entry Alphanumeric Split Screen - US,['Knowledge & Skills'],"The Data Entry Alphanumeric Split Screen - US assessment measures speed and accuracy at typing text and numbers into forms. The information includes business-related text and numbers such as invoice number, address, product number and amount. The test assesses for speed and accuracy.",5.0,"['Professional Individual Contributor', 'Mid-Professional', 'Front Line Manager', 'Entry-Level']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/
A779,779,Data Entry Numeric Split Screen - US,['Knowledge & Skills'],"The Data Entry Numeric Split Screen - US assessment measures speed and accuracy at typing numbers into forms. The information candidates must enter includes business-related records including number fields such as customer number, order number, item number and quantity. Candidates may use either the keyboard's numeric keypad or the number keys at the top of the keyboard.",5.0,"['Mid-Professional', 'Professional Individual Contributor', 'Entry-Level', 'Front Line Manager']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/data-entry-numeric-split-screen-us/
A785,785,Data Entry Ten Key Split Screen,['Knowledge & Skills'],Data Entry Ten Key Split Screen assessment measures ability to enter numbers using a numeric keypad. The test measures accuracy and speed.,3.0,"['Entry-Level', 'Front Line Manager', 'Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/
A4013,4013,Data Science (New),['Knowledge & Skills'],"Multi-choice test that measures the conceptual knowledge on how to use machine learning to analyze data, extract information, draw conclusions and make statistically-driven decisions.",14.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/data-science-new/
A56,56,Data Warehousing Concepts,['Knowledge & Skills'],"The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and Data Warehouse Appliance, Business Considerations, Data Transformation, Data Warehousing and Data Marts, Design, Dimensional Data Model, On Line Analytical Processing (OLAP), Querying and Reporting/Data Extraction.",25.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,True,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/
